state,county,tract,blockgroup,city,GEOID10,B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E
25,003,900700,2,Pittsfield,250039007002,721,366,12,11,14,0,0,28,0,11,7,18,11,38,0,67,33,11,49,0,19,20,0,0,17,355,0,15,56,0,0,0,0,0,37,19,0,24,26,38,14,23,0,0,22,8,19,15,39
25,005,613800,4,Taunton,250056138004,1162,682,25,31,55,26,0,0,69,0,0,0,79,92,0,19,66,0,94,56,33,9,0,18,10,480,0,5,50,0,0,0,0,6,39,62,68,13,80,0,60,0,0,0,52,2,43,0,0
25,017,351203,1,Somerville,250173512031,1135,632,8,0,19,8,0,39,0,58,305,53,38,30,24,38,12,0,0,0,0,0,0,0,0,503,0,8,7,0,23,21,0,83,73,112,46,8,77,8,6,8,0,0,0,8,0,0,15
25,027,730902,1,Worcester,250277309021,2346,1109,33,24,47,40,209,77,124,222,18,71,30,31,30,15,86,15,0,0,15,11,0,0,11,1237,38,0,0,36,388,224,181,57,9,50,46,10,28,26,83,0,0,0,29,9,17,0,6
25,023,542300,6,Middleborough Center,250235423006,719,299,36,0,20,0,38,0,0,21,38,0,11,63,47,0,25,0,0,0,0,0,0,0,0,420,36,10,34,0,0,0,35,22,54,0,47,35,61,51,0,0,0,0,35,0,0,0,0
25,017,370400,1,Watertown Town,250173704001,1074,524,46,0,17,17,0,0,0,18,33,39,19,69,21,81,43,0,17,16,0,54,0,18,16,550,0,0,18,0,0,21,0,54,32,89,66,18,19,71,40,0,18,0,0,52,17,17,18
25,017,354200,2,Cambridge,250173542002,1054,497,42,47,46,0,7,0,9,13,11,55,24,20,10,28,6,20,8,7,51,21,23,43,6,557,28,29,21,36,0,0,7,17,2,31,50,21,40,24,48,21,16,9,54,32,26,0,45
25,017,373300,3,Newton,250173733003,1209,685,26,13,75,75,16,0,42,19,54,77,48,7,69,81,13,10,0,0,9,26,15,10,0,524,30,25,54,24,16,0,0,13,0,69,23,21,93,82,20,5,0,19,10,20,0,0,0
25,017,353200,1,Cambridge,250173532001,2638,1512,51,21,0,0,36,14,64,295,536,202,115,45,43,24,35,14,14,0,0,3,0,0,0,1126,11,57,19,0,42,24,13,283,358,77,71,29,32,35,17,0,0,33,9,0,0,0,16
25,009,204300,2,Salem,250092043002,2007,655,16,15,56,66,57,27,10,39,140,84,40,0,29,9,30,0,0,0,0,8,29,0,0,1352,191,84,108,226,60,76,25,23,73,91,94,45,63,36,90,0,27,30,0,10,0,0,0
25,005,650101,1,New Bedford,250056501011,2039,1052,15,113,66,61,42,0,0,23,50,96,24,64,88,17,86,41,127,29,0,6,29,38,37,987,29,25,83,19,0,0,0,12,57,89,41,24,88,97,92,0,63,18,46,59,30,40,75
